,sentence,tokens,index
2392,Asmussen: 'Wir haben keinen Inflationsdruck'      BERLIN - EZB-Direktoriumsmitglied Jörg Asmussen sieht keine Gefahr einer höheren Inflation durch den Ankauf von Staatsanleihen durch die Europäische Zentralbank (EZB).,"['asmuss', 'kein', 'inflationsdruck', 'berlin', 'ezbdirektoriumsmitglied', 'jorg', 'asmuss', 'sieht', 'kein', 'gefahr', 'hoh', 'inflation', 'ankauf', 'staatsanleih', 'europa', 'zentralbank', 'ezb']",670803
2393,Die Europäische Zentralbank (EZB) sieht Preisstabilität bei einer Inflationsrate von knapp unter zwei Prozent als gesichert./jsl/fbr,"['europa', 'zentralbank', 'ezb', 'sieht', 'preisstabilitat', 'inflationsrat', 'knapp', 'zwei', 'prozent', 'gesichertjslfbr']",671513
2394,Die Europäische Zentralbank (EZB) sieht Preisstabilität im gesamten Euroraum bei einer Inflationsrate von mittelfristig knapp zwei Prozent gewährleistet.,"['europa', 'zentralbank', 'ezb', 'sieht', 'preisstabilitat', 'gesamt', 'euroraum', 'inflationsrat', 'mittelfrist', 'knapp', 'zwei', 'prozent', 'gewahrleistet']",671528
2395,Die Europäische Zentralbank (EZB) sieht Preisstabilität im gesamten Euroraum bei einer Inflationsrate von mittelfristig knapp zwei Prozent gewährleistet.,"['europa', 'zentralbank', 'ezb', 'sieht', 'preisstabilitat', 'gesamt', 'euroraum', 'inflationsrat', 'mittelfrist', 'knapp', 'zwei', 'prozent', 'gewahrleistet']",671604
2396,"Und die Ankündigungen der EZB sowie die erwarteten Maßnahmen der Fed sorgen für Angst vor Inflation und einer Abwertung der wichtigsten Weltwährungen.""","['ankund', 'ezb', 'sowi', 'erwartet', 'massnahm', 'fed', 'sorg', 'angst', 'inflation', 'abwert', 'wichtig', 'weltwahr']",671653
2397,Die Europäische Zentralbank (EZB) sieht Preisstabilität im gesamten Euroraum bei einer Inflationsrate von mittelfristig knapp zwei Prozent gewährleistet.,"['europa', 'zentralbank', 'ezb', 'sieht', 'preisstabilitat', 'gesamt', 'euroraum', 'inflationsrat', 'mittelfrist', 'knapp', 'zwei', 'prozent', 'gewahrleistet']",671694
2398,"FRANKFURT (dpa-AFX) - Börsenrelevante Themen aus der ""Börsen-Zeitung"" (BöZ), ""Frankfurter Allgemeinen Zeitung"" (FAZ), der ""Süddeutschen Zeitung"" (SZ), der ""Welt"" und anderen Zeitungen:  - EZB-Präsident Mario Draghi will seine Strategie im Bundestag rechtfertigen, Interview, SZ, S. 1 sowie S. 19 - Die Eurozone steht vor der Wahl: Entschuldung durch Inflation oder Schuldenschnitt für einzelne Krisenländer, Gastbeitrag von Ökonomen Ulrich Hege und Harald Hau, FAZ, S. 14 - Bundesfinanzminister Wolfgang Schäuble hält eine Klage gegen die Europäische Zentralbank für geboten, wenn sie Krisenländer mit der Notenpresse finanziert, FAZ, S. 16 - Bertelsmann-Chef Thomas Rabe: ""Bertelsmann braucht Eigenkapital in Milliardenhöhe, Interview, FAZ, S. 19 - Chefin des Deutschen Aktieninstituts Christine Bortenlänger fordert Abschaffung der Verpflichtung zu Quartalsberichten, Interview, FAZ, S. 24 - Sparkassenpräsident Georg Fahrenschon warnt vor Gefahr für deutsche Sparguthaben, Interview, Bild, S. 2 - Österreich prüft Klage gegen BayernLB wegen Hypo Alpe Adria, Der Standard  /jha/fbr","['frankfurt', 'dpaafx', 'borsenrelevant', 'them', 'borsenzeit', 'boz', 'frankfurt', 'allgemein', 'zeitung', 'faz', 'suddeutsch', 'zeitung', 'sz', 'welt', 'zeitung', 'ezbprasident', 'mario', 'draghi', 'strategi', 'bundestag', 'rechtfert', 'interview', 'sz', 's', 'sowi', 's', 'eurozon', 'steht', 'wahl', 'entschuld', 'inflation', 'schuldenschnitt', 'einzeln', 'krisenland', 'gastbeitrag', 'okonom', 'ulrich', 'heg', 'harald', 'hau', 'faz', 's', 'bundesfinanzminist', 'wolfgang', 'schaubl', 'halt', 'klag', 'europa', 'zentralbank', 'gebot', 'krisenland', 'notenpress', 'finanziert', 'faz', 's', 'bertelsmannchef', 'thomas', 'rab', 'bertelsmann', 'braucht', 'eigenkapital', 'milliardenhoh', 'interview', 'faz', 's', 'chefin', 'deutsch', 'aktieninstitut', 'christin', 'bortenlang', 'fordert', 'abschaff', 'verpflicht', 'quartalsbericht', 'interview', 'faz', 's', 'sparkassenprasident', 'georg', 'fahrenschon', 'warnt', 'gefahr', 'deutsch', 'sparguthab', 'interview', 'bild', 's', 'osterreich', 'pruft', 'klag', 'bayernlb', 'weg', 'hypo', 'alp', 'adria', 'standard', 'jhafbr']",672044
2399,"Die Teuerung im Euroraum entfernt sich damit vom Zielwert der EZB, die eine Rate von knapp zwei Prozent anstrebt.","['teuer', 'euroraum', 'entfernt', 'zielwert', 'ezb', 'rat', 'knapp', 'zwei', 'prozent', 'anstrebt']",672240
2400,"Die Teuerung im Euroraum entfernt sich damit vom Zielwert der EZB, die eine Rate von knapp zwei Prozent anstrebt.","['teuer', 'euroraum', 'entfernt', 'zielwert', 'ezb', 'rat', 'knapp', 'zwei', 'prozent', 'anstrebt']",672252
2401,"Zwar verfüge die EZB über ein umfassendes Instrumentarium, um die Inflation im Zaum zu halten, sagte er der Wirtschaftszeitung ""Euro am Sonntag"".","['verfug', 'ezb', 'umfass', 'instrumentarium', 'inflation', 'zaum', 'halt', 'sagt', 'wirtschaftszeit', 'euro', 'sonntag']",672252
2402,"DEUTSCHE BANK SIEHT INFLATION - 'PREIS, DEN WIR FÜR EUROPA ZAHLEN'      Die Ankündigung der EZB, Euro-Krisenländern mit dem unbegrenzten Kauf von Staatsanleihen unter die Arme zu greifen, dürfte nach Experteneinschätzung eine Geldentwertung mit sich bringen.","['deutsch', 'bank', 'sieht', 'inflation', 'preis', 'europa', 'zahl', 'ankund', 'ezb', 'eurokrisenland', 'unbegrenzt', 'kauf', 'staatsanleih', 'arm', 'greif', 'durft', 'experteneinschatz', 'geldentwert', 'bring']",672280
2403,"Hüther erinnerte daran, dass die EZB bereits für 211 Milliarden Euro Staatsanleihen aus Krisenstaaten gekauft habe, ohne dass die Inflation nach oben geschossen sei./brd/DP/jkr","['huth', 'erinnert', 'daran', 'ezb', 'bereit', 'milliard', 'euro', 'staatsanleih', 'krisenstaat', 'gekauft', 'ohn', 'inflation', 'oben', 'geschoss', 'seibrddpjkr']",672405
2404,"Hat der Chef der Deutschen Bank Recht und wird es als Folge der neuen Maßnahmen der EZB (auch der Feder­al Reserve) mehr, vielleicht sogar die große Inflation ge­ben?","['chef', 'deutsch', 'bank', 'recht', 'folg', 'neu', 'massnahm', 'ezb', 'feder\xadal', 'reserv', 'mehr', 'vielleicht', 'sogar', 'gross', 'inflation', 'ge\xadb']",673006
2405,"Euro, FTD, S.9 - Hannover Rück will Mutterkonzern Talanx beglücken, FTD, S.15 - Vossloh bereitet Großübernahme vor, Interview mit Chef Andree, FTD, S.4 - EU wirbt für transatlantische Airline-Bündnisse, FTD, S.3 - ""Die Inflation wird kommen"", Interview mit Global Chief Investment Officer der Credit Suisse Keitel, FTD, S.19 -Maersk senkt Kapazität und erhöht Preise, WSJ, S.19 - EZB lehnt Forderungsverzicht für Griechenland ab, Gespräch mit Jörg Asmussen, EZB-Direktoriumsmitglied, Welt, S. 9 - Ex-EZB-Chefvolkswirt kritisiert Zentralbank - EZB riskiert politische Unabhängigkeit, Interview mit Otmar Issing, Welt, S. 10 - Deutschland besteht bei EADS auf Gleichgewicht mit Frankreich, Welt, S. 14 - SPD plant hohe Abgaben für Banken, SZ, S.17 - Hapag-Lloyd-Chef Michael Behrendt sieht den Schifffahrtsstandort Deutschland in Gefahr, Interview, FAZ, S. 13 - AEG Power Solutions drängt nach Südafrika, FAZ, S. 15 - Ford verhängt Einstellungsstopp, FAZ, S. 16 - Biokraftstoffhersteller Verbio sieht Biosprit-Debatte gelassen, Gespräch mit Vorstandschef Claus Sauter, BöZ, S.  --------------------------------------------------------------------- ---------- WEITERE ÜBERSICHTEN UND PROGNOSEN IM DPA-AFX DIENST --------------------------------------------------------------------- ----------  - Termine des Tages - Suchbegriff ""Tagesvorschau"" - Übersicht Unternehmensmeldungen ab 17.30 Uhr - Suchbegriff ""UNTERNEHMEN"" - Aktualisierte Konjunkturprognosen Eurozone/USA - Suchbegriff ""Eurozone"" - Boersentag auf einen Blick - Teil 2 folgt bis 08.20 Uhr --------------------------------------------------------------------- ---------- /rum","['euro', 'ftd', 's', 'hannov', 'ruck', 'mutterkonz', 'talanx', 'begluck', 'ftd', 's', 'vossloh', 'bereitet', 'grossubernahm', 'interview', 'chef', 'andre', 'ftd', 's', 'eu', 'wirbt', 'transatlant', 'airlinebundnis', 'ftd', 's', 'inflation', 'komm', 'interview', 'global', 'chief', 'investment', 'offic', 'credit', 'suiss', 'keitel', 'ftd', 's', 'maersk', 'senkt', 'kapazitat', 'erhoht', 'preis', 'wsj', 's', 'ezb', 'lehnt', 'forderungsverzicht', 'griechenland', 'ab', 'gesprach', 'jorg', 'asmuss', 'ezbdirektoriumsmitglied', 'welt', 's', 'exezbchefvolkswirt', 'kritisiert', 'zentralbank', 'ezb', 'riskiert', 'polit', 'unabhang', 'interview', 'otmar', 'issing', 'welt', 's', 'deutschland', 'besteht', 'ead', 'gleichgewicht', 'frankreich', 'welt', 's', 'spd', 'plant', 'hoh', 'abgab', 'bank', 'sz', 's', 'hapaglloydchef', 'michael', 'behrendt', 'sieht', 'schifffahrtsstandort', 'deutschland', 'gefahr', 'interview', 'faz', 's', 'aeg', 'pow', 'solution', 'drangt', 'sudafrika', 'faz', 's', 'ford', 'verhangt', 'einstellungsstopp', 'faz', 's', 'biokraftstoffherstell', 'verbio', 'sieht', 'biospritdebatt', 'gelass', 'gesprach', 'vorstandschef', 'claus', 'saut', 'boz', 's', 'weit', 'ubersicht', 'prognos', 'dpaafx', 'dien', 'termin', 'tag', 'suchbegriff', 'tagesvorschau', 'ubersicht', 'unternehmensmeld', 'ab', 'uhr', 'suchbegriff', 'unternehm', 'aktualisiert', 'konjunkturprognos', 'eurozoneusa', 'suchbegriff', 'eurozon', 'boersentag', 'blick', 'teil', 'folgt', 'uhr', 'rum']",674046
2406,"Die aktuell erhöhte Teuerung, die sich hartnäckig und deutlich über dem Zielwert der EZB von knapp zwei Prozent hält, erklärte Draghi vor allem mit den hohen Energiepreisen und Steuererhöhungen in einigen Euroländern.","['aktuell', 'erhoht', 'teuer', 'hartnack', 'deutlich', 'zielwert', 'ezb', 'knapp', 'zwei', 'prozent', 'halt', 'erklart', 'draghi', 'hoh', 'energiepreis', 'steuererhoh', 'euroland']",675645
2407,Die Inflationsrate dürfte laut Draghi im laufenden Jahr über der Marke von zwei Prozent verharren und erst im kommenden Jahr unter den Zielwert fallen.,"['inflationsrat', 'durft', 'laut', 'draghi', 'laufend', 'jahr', 'mark', 'zwei', 'prozent', 'verharr', 'erst', 'kommend', 'jahr', 'zielwert', 'fall']",675681
2408,Draghi: Keine Diskussion über Zinssenkung bei Ratssitzung      Die Ausführungen Draghis zu Wachstum und Inflation glichen unterdessen stark seinen Aussagen nach der letzten Zinssitzung von Anfang September.,"['draghi', 'kein', 'diskussion', 'zinssenk', 'ratssitz', 'ausfuhr', 'draghis', 'wachstum', 'inflation', 'glich', 'unterdess', 'stark', 'aussag', 'letzt', 'zinssitz', 'anfang', 'septemb']",675682
2409,"Nach unseren Prognosen wird bereits im nächsten Jahr die Inflation wieder unter die 2-Prozent-Marke sinken"", sagte Asmussen der ""Bild am Sonntag"".","['prognos', 'bereit', 'nach', 'jahr', 'inflation', 'prozentmark', 'sink', 'sagt', 'asmuss', 'bild', 'sonntag']",675968
2410,"Asmussen verwies darauf, dass die Inflationsrate in der Eurozone seit Bestehen der gemeinsamen Währung bei zwei Prozent liege, in Deutschland sogar nur bei 1,6 Prozent.","['asmuss', 'verwi', 'darauf', 'inflationsrat', 'eurozon', 'seit', 'besteh', 'gemeinsam', 'wahrung', 'zwei', 'prozent', 'lieg', 'deutschland', 'sogar', 'prozent']",675968
2411,Die Lehren aus der Geschichte könnten ihm zufolge sein: Gelassen bleiben  Asmussen: Inflation in Eurozone sinkt 2013 unter zwei Prozent      BERLIN - EZB-Direktor Jörg Asmussen sieht trotz der anhaltenden Schuldenkrise keine Inflationsgefahr für die Eurozone.,"['lehr', 'geschicht', 'konnt', 'zufolg', 'gelass', 'bleib', 'asmuss', 'inflation', 'eurozon', 'sinkt', 'zwei', 'prozent', 'berlin', 'ezbdirektor', 'jorg', 'asmuss', 'sieht', 'trotz', 'anhalt', 'schuldenkris', 'kein', 'inflationsgefahr', 'eurozon']",676019
2412,"Nach unseren Prognosen wird bereits im nächsten Jahr die Inflation wieder unter die 2-Prozent-Marke sinken"", sagte Asmussen der ""Bild am Sonntag"".","['prognos', 'bereit', 'nach', 'jahr', 'inflation', 'prozentmark', 'sink', 'sagt', 'asmuss', 'bild', 'sonntag']",676019
2413,"Brent 111,40 -0,62 USD (7:15 Uhr)   --------------------------------------------------------------------- ---------- TOP-UMSTUFUNGEN / AKTIEN --------------------------------------------------------------------- ----------  - BARCLAYS HEBT ZIEL FÜR MERCK KGAA AUF 87 (83) EUR - 'UNDERWEIGHT' - HÄNDLER: GOLDMAN HEBT SKY DEUTSCHLAND AUF 'BUY' ('NEUTRAL') - HÄNDLER: GOLDMAN SENKT STRÖER AUF 'NEUTRAL' ('BUY')  - BARCLAYS SENKT H&M AUF 'EQUAL WEIGHT' ('OVERWEIGHT') - ZIEL 250 (285) SEK - HÄNDLER: NOMURA SENKT AEGON AUF 'NEUTRAL' ('BUY')  --------------------------------------------------------------------- ---------- PRESSESCHAU --------------------------------------------------------------------- ----------  - Brasiliens Finanzminister Guido Mantega: 'Europa ist zu langsam', Interview, HB, S. 1, 12 - Neue Forderungen aus Berlin machen Zustimmung für EADS-Fusion für beteiligte Regierungen schwierig, HB, S. 4, FTD, S. 1, FT, S. 1 - Deutsche Telekom steuert 2012 auf Milliardenverlust zu, HB, S. 1, 8, 22 - CSU will der Bundesbank ein Vetorecht in der EZB verschaffen, FTD, S. 7 - Die Idee eines eigenen Haushalts für die Euro-Zone zusätzlich zum Budget für alle 27 EU-Staaten gewinnt an Unterstützung, FTD, S. 9 - Der Vorschlag der EU-Kommission für eine Übertragung der Bankenaufsicht im Währungsraum auf die EZB stößt immer mehr auf Widerstand bei Mitgliedsstaaten und im Straßburger Parlament, FTD, S. 13 - Munich Re wittert Geschäftschancen in der Abdeckung von Kernkraftrisiken, Interview mit Vorstand Torsten Jeworrek, FTD, S. 15 - Trotz Rezession im Euro-Raum und abflauender Weltkonjunktur überwiegt bei Deutschlands Führungskräften der Optimismus, Studie, HB, S. 21 - Ökostrom wird für die Verbraucher immer teurer, FAZ, S. 11 - Etihad und Air France-KLM schließen Bündnis, FAZ, S. 15 - US-Firmen sollen Geschäfte mit dem chinesischen Netzwerkausrüster Huawei vermeiden - Bedenken für nationale Sicherheit, SZ, S. 20 - Gespräche mit Zypern über Milliardenhilfen sind in einer Sackgasse, Welt, S. 9 - BMW rechnet mit Absatzrekord bei Motorrädern, Interview mit BMW-Motorrad-Chef Stephan Schaller, Welt am Sonntag - Nicolas Berggruen gibt Bekenntnis zu Karstadt ab, Interview, WAZ - ZF will Zahl seiner Zulieferer von 3.500 auf 2.000 verringern, Automobil Produktion - VW will verstärkt auf Autos mit Erdgasantrieben setzen, Interview mit VW-Chef Martin Winterkorn, Westfalen-Blatt - Opel-Vertriebsvorstand: China-Markt hat für uns keine Priorität, Interview mit Alfred E. Rieck, Autogazette.de - Nokia verliert weiter an Boden, Focus - Freenet-Chef: Kein Zeitdruck bei Zusammenschluss mit Drillisch, Interview mit Paschalis Choulidis, Welt am Sonntag - Telekom und 1&1 wollen Gespräche über Konditionen bei De-Mail-Dienst, Interview mit 1&1-Manager Jan Oetjen, Wirtschaftswoche - Facebook will Kreditlinie halbieren, verschiedene US-Medien - Mischkonzern Freudenberg kauft 50 Prozent von Schneegans, Heilbronner Stimme - Bundesregierung strebt neues Steuerabkommen mit Singapur an, Bild-Zeitung - Porzellan-Hersteller KPM will schwarze Zahlen schreiben, Interview mit Alleininhaber Jörg Woltmann,Tagesspiegel - Flughafen-Debakel - Grüne befürchten Gegenwind aus Brüssel, Berliner Morgenpost, Sonntagsausgabe - Bundesbauten werden 240 Millionen Euro teurer, Rheinische Post - Rösler: Echtzeit-Infos über Benzinpreise kommen ins Netz, Interview mit Bundeswirtschaftsminister Philipp Rösler, Bild am Sonntag - Umfrage: Mehrheit akzeptiert niedrigeres Rentenniveau, Focus - Streit zwischen Hessen und NRW um Millionen-Bußgelder von Banken, Spiegel - Klage gegen Länderfinanzausgleich - Bayern beauftragt Experten,  Spiegel - BDI: Industrie braucht stärkere Rolle bei Krisen-Bewältigung, Interview mit BDI-Hauptgeschäftsführer Markus Kerber, Deutsche Wirtschafts-Nachrichten - Asmussen: Inflation in Eurozone sinkt 2013 unter zwei Prozent, Interview mit EZB-Direktor Jörg Asmussen, Bild am Sonntag - Unmut in der CDU über Sozialpolitik - Kritik an von der Leyen, Interview mit Karl-Josef Laumann, Vorsitzender des CDU-Arbeitnehmerflügels, Focus - Beck sieht noch Kompromisschance bei Steuerabkommen mit Schweiz, Interview, Focus - Milliardenüberschuss bei Bundesarbeitsagentur - Kritik an Einsparung, Bild-Zeitung, Samstagsausgabe - Griechische Politiker im Visier der Steuerfahndung, Kathimerini - Charité will neue Finanzstruktur für Krankenhäuser, Interview mit Wirtschaftswoche Finanzchef Matthias Scheller - Asmussen: EZB braucht deutlich mehr Frauen in Führungspositionen, Interview mit EZB-Direktoriumsmitglieds Jörg Asmussen, Bild am Sonntag  --------------------------------------------------------------------- ---------- WEITERE ÜBERSICHTEN UND PROGNOSEN IM DPA-AFX DIENST --------------------------------------------------------------------- ----------  - Termine des Tages - Suchbegriff ""Tagesvorschau"" - ÜBERBLICK: Die wichtigsten Meldungen vom Wochenende - Suchbegriff ""Wochenende"" - Aktualisierte Konjunkturprognosen Eurozone/USA - Suchbegriff ""Eurozone"" - Boersentag auf einen Blick - Teil 2 folgt bis 08.20 Uhr --------------------------------------------------------------------- ----------  /rum","['brent', 'usd', 'uhr', 'topumstuf', 'akti', 'barclays', 'hebt', 'ziel', 'merck', 'kgaa', 'eur', 'underweight', 'handl', 'goldman', 'hebt', 'sky', 'deutschland', 'buy', 'neutral', 'handl', 'goldman', 'senkt', 'stroer', 'neutral', 'buy', 'barclays', 'senkt', 'hm', 'equal', 'weight', 'overweight', 'ziel', 'sek', 'handl', 'nomura', 'senkt', 'aegon', 'neutral', 'buy', 'presseschau', 'brasili', 'finanzminist', 'guido', 'mantega', 'europa', 'langsam', 'interview', 'hb', 's', 'neu', 'forder', 'berlin', 'zustimm', 'eadsfusion', 'beteiligt', 'regier', 'schwierig', 'hb', 's', 'ftd', 's', 'ft', 's', 'deutsch', 'telekom', 'steuert', 'milliardenverlust', 'hb', 's', 'csu', 'bundesbank', 'vetorecht', 'ezb', 'verschaff', 'ftd', 's', 'ide', 'eig', 'haushalt', 'eurozon', 'zusatz', 'budget', 'eustaat', 'gewinnt', 'unterstutz', 'ftd', 's', 'vorschlag', 'eukommission', 'ubertrag', 'bankenaufsicht', 'wahrungsraum', 'ezb', 'stosst', 'imm', 'mehr', 'widerstand', 'mitgliedsstaat', 'strassburg', 'parlament', 'ftd', 's', 'munich', 're', 'wittert', 'geschaftschanc', 'abdeck', 'kernkraftris', 'interview', 'vorstand', 'torst', 'jeworrek', 'ftd', 's', 'trotz', 'rezession', 'euroraum', 'abflau', 'weltkonjunktur', 'uberwiegt', 'deutschland', 'fuhrungskraft', 'optimismus', 'studi', 'hb', 's', 'okostrom', 'verbrauch', 'imm', 'teur', 'faz', 's', 'etihad', 'air', 'franceklm', 'schliess', 'bundnis', 'faz', 's', 'usfirm', 'soll', 'geschaft', 'chines', 'netzwerkausrust', 'huawei', 'vermeid', 'bedenk', 'national', 'sich', 'sz', 's', 'gesprach', 'zyp', 'milliardenhilf', 'sackgass', 'welt', 's', 'bmw', 'rechnet', 'absatzrekord', 'motorrad', 'interview', 'bmwmotorradchef', 'stephan', 'schall', 'welt', 'sonntag', 'nicolas', 'berggru', 'gibt', 'bekenntnis', 'karstadt', 'ab', 'interview', 'waz', 'zf', 'zahl', 'zulief', 'verring', 'automobil', 'produktion', 'vw', 'verstarkt', 'autos', 'erdgasantrieb', 'setz', 'interview', 'vwchef', 'martin', 'winterkorn', 'westfalenblatt', 'opelvertriebsvorstand', 'chinamarkt', 'kein', 'prioritat', 'interview', 'alfred', 'e', 'rieck', 'autogazetted', 'nokia', 'verliert', 'bod', 'focus', 'freenetchef', 'kein', 'zeitdruck', 'zusammenschluss', 'drillisch', 'interview', 'paschalis', 'choulidis', 'welt', 'sonntag', 'telekom', 'gesprach', 'kondition', 'demaildien', 'interview', 'manag', 'jan', 'oetj', 'wirtschaftswoch', 'facebook', 'kreditlini', 'halbi', 'verschied', 'usmedi', 'mischkonz', 'freudenberg', 'kauft', 'prozent', 'schneegan', 'heilbronn', 'stimm', 'bundesregier', 'strebt', 'neu', 'steuerabkomm', 'singapur', 'bildzeit', 'porzellanherstell', 'kpm', 'schwarz', 'zahl', 'schreib', 'interview', 'alleininhab', 'jorg', 'woltmanntagesspiegel', 'flughafendebakel', 'grun', 'befurcht', 'gegenwind', 'brussel', 'berlin', 'morgenpost', 'sonntagsausgab', 'bundesbaut', 'million', 'euro', 'teur', 'rheinisch', 'post', 'rosl', 'echtzeitinfos', 'benzinpreis', 'komm', 'netz', 'interview', 'bundeswirtschaftsminist', 'philipp', 'rosl', 'bild', 'sonntag', 'umfrag', 'mehrheit', 'akzeptiert', 'niedrig', 'rentenniveau', 'focus', 'streit', 'hess', 'nrw', 'millionenbussgeld', 'bank', 'spiegel', 'klag', 'landerfinanzausgleich', 'bay', 'beauftragt', 'expert', 'spiegel', 'bdi', 'industri', 'braucht', 'stark', 'roll', 'krisenbewalt', 'interview', 'bdihauptgeschaftsfuhr', 'markus', 'kerb', 'deutsch', 'wirtschaftsnachricht', 'asmuss', 'inflation', 'eurozon', 'sinkt', 'zwei', 'prozent', 'interview', 'ezbdirektor', 'jorg', 'asmuss', 'bild', 'sonntag', 'unmut', 'cdu', 'sozialpolit', 'kritik', 'ley', 'interview', 'karljosef', 'laumann', 'vorsitz', 'cduarbeitnehmerflugel', 'focus', 'beck', 'sieht', 'kompromisschanc', 'steuerabkomm', 'schweiz', 'interview', 'focus', 'milliardenuberschuss', 'bundesarbeitsagentur', 'kritik', 'einspar', 'bildzeit', 'samstagsausgab', 'griechisch', 'polit', 'visi', 'steuerfahnd', 'kathimerini', 'charité', 'neu', 'finanzstruktur', 'krankenhaus', 'interview', 'wirtschaftswoch', 'finanzchef', 'matthias', 'schell', 'asmuss', 'ezb', 'braucht', 'deutlich', 'mehr', 'frau', 'fuhrungsposition', 'interview', 'ezbdirektoriumsmitglied', 'jorg', 'asmuss', 'bild', 'sonntag', 'weit', 'ubersicht', 'prognos', 'dpaafx', 'dien', 'termin', 'tag', 'suchbegriff', 'tagesvorschau', 'uberblick', 'wichtig', 'meldung', 'wochen', 'suchbegriff', 'wochen', 'aktualisiert', 'konjunkturprognos', 'eurozoneusa', 'suchbegriff', 'eurozon', 'boersentag', 'blick', 'teil', 'folgt', 'uhr', 'rum']",676034
